I2	16958	56181	0.301845819761129
E3	14517	48169	0.301376403911229
E4	14287	48327	0.295631841413702
G3	16407	54465	0.301239328008813
G4	15510	51358	0.301997741345068
E1	15477	51181	0.302397374025517
E2	14785	49944	0.296031555341983
G1	14449	48889	0.295547055574874
G2	15394	51727	0.29760086608541
I1	16904	55809	0.3028902148399
L1	13355	44741	0.298495786862162
N1	15499	51345	0.301859966890642
N2	14055	47588	0.295347566613432
B3	15788	52373	0.301453038779524
B4	14738	49636	0.296921589169151
B1	15162	50665	0.299259844073818
B2	14153	48055	0.294516699615024
E5	15972	52892	0.301973833471981
E6	15715	52591	0.298815386663117
G5	14937	49497	0.301775865203952
G6	16085	53604	0.300070890232072
I5	15594	52021	0.299763557025048
I6	15107	50403	0.299724222764518
I3	15033	50354	0.298546292250864
I4	16036	53091	0.302047428000979
B6	14637	49081	0.298221307634319
L5	14562	48115	0.302649901278188
N5	11985	41571	0.288301941257126
N6	10280	36644	0.280537059273005
L4	12371	42345	0.292147833274294
N3	15577	50477	0.308595994215187
N4	17271	57207	0.30190361319419
B5	17568	58182	0.301949056409199
I8	14933	50277	0.297014539451439
E9	16440	55046	0.298659303128293
E10	14319	48879	0.292947891732646
G9	15371	50905	0.301954621353502
G10	15343	51680	0.296884674922601
E7	13205	45100	0.292793791574279
E8	14538	49482	0.293803807445132
G8	11652	41661	0.279686037301073
L7	15308	52326	0.292550548484501
L8	13364	45409	0.29430289149728
N8	12228	42489	0.287792134434795
B9	17898	60168	0.297467092142002
B10	17227	56345	0.305741414499956
B7	13073	45184	0.289328080736544
B8	8386	32219	0.260281200533847
E11	13096	44983	0.291132205499856
E12	13166	45030	0.292382855873862
G11	16562	54791	0.302275921227939
G12	14951	50325	0.297088922006955
I11	17316	55705	0.310851808634772
I12	15163	50502	0.300245534830304
I9	16357	54397	0.300696729599059
I10	15045	49834	0.301902315688084
B12	14645	49520	0.295739095315024
L11	14348	48938	0.293187298214067
L12	16034	53188	0.301458975708806
N11	13474	45197	0.298117131668031
N12	15193	50523	0.300714526057439
L9	15345	51990	0.295152914021927
L10	14882	50290	0.295923642871346
N9	11694	41310	0.283079157588962
N10	15104	50144	0.301212507977026
B11	14555	49511	0.293975076245683
I14	15204	51500	0.295223300970874
E15	17067	55700	0.306409335727109
E16	16433	53957	0.304557332690846
G15	16706	55184	0.302732676138011
G16	9294	34270	0.27119929967902
E13	15826	52587	0.300948903721452
E14	14620	49591	0.29481155854893
G13	12303	42405	0.290130880792359
G14	15737	52540	0.299524172059383
I13	12393	42913	0.28879360566728
L13	11939	41855	0.285246684983873
L14	15470	52013	0.297425643589103
N13	15447	51106	0.302254138457324
N14	13115	44952	0.291755650471614
B15	14747	50050	0.294645354645355
B16	16472	55449	0.297065772150986
B13	10603	38664	0.274234429960687
B14	12857	45298	0.283831515740209
E17	15347	51304	0.299138468735381
E18	14697	49007	0.299895933234028
G17	14688	49270	0.298112441648062
G18	16505	52797	0.312612459041233
I17	14467	48706	0.29702706032111
I18	13928	47035	0.296119910704794
I15	12187	42210	0.288723051409619
I16	14587	49621	0.293968279559058
B18	13814	47671	0.289777852363072
L18	15606	52042	0.299873179355136
N17	7842	30646	0.255889838804412
N18	15096	50580	0.298457888493476
L15	15419	51168	0.301340681676048
L16	15033	50823	0.295791275603565
N15	14005	46955	0.298264295602172
N16	15218	51328	0.296485349127182
B17	13456	46429	0.289818863210493
I20	14473	48685	0.297278422512067
E21	15195	51026	0.297789362285893
E22	15438	51347	0.300660213839173
G22	16491	54663	0.301684869107074
E19	13965	47822	0.292020409016771
E20	18533	60691	0.305366528809873
G19	13283	45925	0.289232444202504
G20	14653	49261	0.29745640567589
I19	16457	53833	0.30570467928594
L19	15762	52574	0.299805987750599
L20	8599	32768	0.262420654296875
N19	10150	36914	0.274963428509509
N20	15112	50685	0.298155272763145
B21	13061	44722	0.292048656142391
B22	16729	55329	0.302355003705109
B19	10168	37229	0.273120416879314
B20	12941	44958	0.287846434449931
E23	15531	51660	0.300638792102207
E24	11606	40599	0.285869110076603
G23	16913	55141	0.306722765274478
G24	17375	57061	0.304498694379699
I23	16007	53470	0.299364129418365
I24	16946	55334	0.306249322297322
I21	14279	47611	0.299909684736721
I22	17083	56380	0.302997516849947
L21	12653	43778	0.289026451642377
L22	14601	49133	0.297172979463904
N21	12806	44756	0.286129234069175
N22	16065	54016	0.297411877962085
B23	7931	31119	0.254860374690703
