A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A4	A5	A6	A7	A8	D1	D10	D11	D12	D13	D16	D17	D18	D19	D2	D20	D21	D23	D3	D4	D5	D6	D7	D8	D9	F1	F10	F12	F13	F14	F15	F16	F17	F18	F19	F2	F20	F21	F22	F3	F4	F5	F6	F7	F9	K1	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K2	K20	K21	K22	K24	K3	K4	K5	K6	K7	K8	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P3	P5	P8	P9
te_291	0	0	0	0	0	0.806013321045767	0	0.160105964227915	0	0	0	0	0	0.788808768443087	0.801214414167711	0	0	0.804060325004588	2.5875305342141	0	0	0	0	0	0	0	0	0	0	0	0.626916019155604	0	0	0	0	0	0	0	1.75631829270148	0	0	2.57383911869334	1.24859070715114	1.25815795934439	0	0	0	1.86436430697101	0	1.27883680742904	0	0	0	0	0	0	0	0.764549918879838	0	0	0	3.26867336478267	0	0	0.800762532428569	0	0	0	0	0	0	2.01465291774496	1.28767403550649	0	0	0	0	0	1.70056651492493	1.13953500136738	0.238059024859252	0	0	0.785122254226114	1.00763297577636	0	0	0	0	0	0	0.477153733997006	0	0	0
te_292	1.62286178988149	1.06065391535423	0	0	0	0	0	2.43331874545771	1.13165721668544	0	0	0	0.771131956135556	0.788808768443087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.717665553493209	1.28725355941066	0	0	1.95520334778908	0	1.04347489060616	0	0	2.08341201244679	0	0	0	0	0	0	0	0	0	1.0983832462822	0	0	0	0	0	3.50080048215383	0	3.23052261730864	0	0	0	0	0	0	0.672305213470941	0.670101615558839	1.62722455788514	0	0	0	0	1.09782150462011	0	1.09594727731095	0	0.344289722717836	0	1.60792476077922	0	1.26240520793035	0	0	3.22393956753494	0	0	0	0	0.457856402152728	0	0	0	0	0	0	0
te_300	0	1.29150670804281	0	0	1.17113853472656	1.00203300848484	0	0	1.69301534905348	0	0	0	1.27095739243318	0	0	0	0	0	0.65319785519523	0	0	0	2.73955519323104	1.46467450110734	0	0	0	0.629511373187605	0	0	0.558411811949639	0	0	0	0	0	2.39087265736819	0	0.555789772533085	0	0	0	0	0	0	0	0.749688561396941	0	0	0	0	0	0	0	0	0	0	0	1.03853865652631	0	0	0	0	0.47620463261479	0	0	0.804166086198191	1.16128937938428	0	0	0	0	0	0.585457645737852	0	0.344289722717836	0	0	0	0	1.57937504822043	0	0	0	0.650174051812011	0	2.87078271640268	0	0	1.33991474674051	0	0	0	0	0
te_340	3.60194285093319	4.26406892091955	2.18405926363911	2.04306736708372	0.262030011554244	0	0.768041286990039	0	0	0	4.03407241529069	1.99383643773177	3.2447804370719	1.77835249086536	3.98653352981787	4.79211967438911	2.69390065183928	1.31731354949345	0.849367093251277	0	0	0	0	0	0	0.780050035790565	4.08150532939004	0	0	0	0.653432136861994	3.56129246703764	0.93972546919799	5.24298230794435	0.781927402865399	3.19930718452471	4.2775307045479	0	4.08326467502269	2.50518762798683	0	0	2.97827986078624	0	0	1.25100648268534	0	1.21445889309748	0	4.39025887069764	0	0	3.61582906424741	0	0	4.6638906528972	4.1531291273125	2.8094192496208	0	1.23600527524066	0	0	1.81240913821284	1.35857466149124	0	1.98401514363373	5.44788147638042	3.82156536827085	3.34272545414703	1.00647722135626	0	0	0	0	3.72565794547056	2.12732707569607	0	3.6386418069816	3.32209292853337	1.26240520793035	2.24415667581218	0	0	2.64067774333726	2.09070840383801	0	0	0	3.15012608271212	0	1.22913968089164	0	0	0	3.86909788350184
te_343	0	0	0	2.4205138398257	1.64796338261599	1.46005772737906	0	0	0	0	1.0695240741894	0	2.0238514553449	0.788808768443087	0	0	0	0	0.558205372814466	0.324716270615201	0	0	0	0	0	0	0.785833732758544	0	0.970978729117111	0	0.558411811949639	0	0	0.822219732523957	0	0	1.97930222375814	0	2.18916113409846	0.782051295259588	0	2.18221942553294	1.02294939934502	0	0	0	0	0	0	0	0	0	0	0.649308061919001	0	3.29686457023743	0	0	0	0	1.46703895597565	0.443500401763765	0	1.74264250164379	0	2.44198477272256	0	1.93683920120403	0	0	1.33229512770541	0	1.95705382202733	0	0	0	0	0.792001762838271	0	0	1.85452260117252	0	0	0	0	0	0	0	1.57013884286202	0.661674970834775	0	0	2.15010666282039	0	0
te_344	0	0	0	0	0	0	0	0	0	0	0	0	0.771131956135556	0	0	0	2.8388369991312	2.8007581870518	3.02823815871556	0	0	0	0	0	0	0	4.75847277503845	2.36296062263729	0	0	0.779160580965126	0	0	0	0	0	0	4.60038509330129	3.7884193494289	2.41073311562472	0	0	1.90773058949537	0	0	0	0	0	0	0	0	0	4.54060019031388	0	2.54176468517939	3.60368490388082	0	0	0	0	2.73260025284383	1.05637510809023	4.1271369662154	0	0	0	0	4.64146440196115	0	0	1.33229512770541	0	0.4439623388315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.34911331641807	0	0	0	0	0	0
te_414	1.45320853849845	0	0	0	3.03032458734551	0	0	0	3.31226894417685	0	2.49057191303153	0	0	0	2.28135706654234	1.56939427015349	1.06634483051608	1.45715254424791	1.4349001212478	0	2.02561781442551	0	0	0	1.72210157941049	0.654208525078629	0.563547026353789	1.73152203215725	0	0	0.193111154191131	0	1.99050199769362	0	0.781927402865399	2.47060767460824	0.436938700135726	0	4.63379230053472	2.60411717232157	0	0	0	0	0	2.62650404542678	0	0.841830158689757	0	2.5831614283414	0	0	2.70706265733925	0	0	0.898903013439483	0	1.95055937376283	0	2.23003380169907	1.09038261435576	3.41214684706971	0	0	0	0.798242416689258	1.96714319958117	4.01742149274146	0	0	0	2.47540926952514	0	0	0	0	0	1.55862233976466	1.32203798607722	0	2.28898008865549	0	2.49652739098118	3.24653245472679	0.912653046600127	0	0	0	0.33637219675433	0	0.417993308939927	0	0	0	1.90660382487307
te_435	0	0	0	1.09669244013206	0	1.32004950395031	1.26658405446119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75444205680759	2.19722129828863	0	0	0.44177279904497	0.555198598185184	0	0	0	0.386534778521549	0.560540309945577	0	1.97930222375814	0	0	0.694954819382465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45588145656714	0	0	0	0	0	0	0	0	0	0	0	1.90146207772297	0	0	0.684560025410154	0	0	0	0	0	0	0	0	0.765090635153607	0.238059024859252	0	0	1.77214581389413	0	0	0	0	0	2.66897517945661	0.741691987154521	0	0	0	0.619591368497915
te_452	1.24291400224849	0	0	2.84306685547489	0	0	0	1.30282499860021	0	0	0.196123880302699	0	0	0	0	0.957345020190503	0.424290951565056	0.999748207985662	2.67097537075715	0	0	0	0	2.94261684069416	0	0	0.139302325784961	3.65579815512903	0	2.96849869420032	0	0	0	0	0	0	0	0.904713541373202	2.58124599454067	0.503199098773345	2.93337317167071	0.359612219812863	0	0	0	1.84580687080899	3.44731331551197	1.09468339536595	0	0	0	0	3.68120846203609	0	0	0	0.25809999921173	1.494151268706	2.3083163485873	0.783235589559977	0	0	0.42568280837191	0	0	2.18494997725059	3.31522337945162	2.97223661098673	0	1.71768126740722	0	0	0	0	0	0	0	0	1.85811362138065	0	1.5354066606694	0	0	0.785122254226114	0	0	0	0	1.45740613865369	0.820225372022709	3.06927139023704	0	0	3.87032524361026	1.05163651103552
te_543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.563543270860196	0	0.376738544405119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.776191829013861	1.60559424403282	0	0	0.190920120830378	0	0	0	0.558054604218675	0	0	0	1.95277937198804	0.541439951012713	0	0	0	0.556525325136902	0	1.22564445277355	0	0	0	0	0	1.3748197230851	0	0.38163138761948	0	0	0	0	0	1.98401514363373	0	2.02166320760139	0	0	0	0	0	0	1.78485880866668	0	0	1.60098387538601	0	0	2.16460739652275	0	0	0	0	1.13129365833992	0	0	0	0	0	0	0	0	0.656883414743045
